Rank,start_station,end_station,line_y,line_x,climate_pass,avg_cum_passenger
334,갈산,부평구청,인천1호선,인천1호선,X,35286.0
335,금정,산본,04호선,04호선,X,34321.0
336,약수,청구,06호선,06호선,O,32457.14285714286
337,강동,둔촌동,05-1호선,05-1호선,O,32184.0
338,이태원,한강진,06호선,06호선,O,31712.66666666667
339,성균관대,화서,01-1호선,01-1호선,X,30639.0
340,신답,용두,02-1호선,02-1호선,O,29914.0
341,수원,화서,01-1호선,01-1호선,X,28568.5
342,의정부,회룡,01호선,01호선,X,27257.0
343,봉은사,종합운동장,09호선,09호선,O,25192.0
344,버티고개,약수,06호선,06호선,O,24646.5
345,버티고개,한강진,06호선,06호선,O,24642.5
346,강일,상일동,05호선,05호선,O,24091.0
347,백운,부평,01호선,01호선,X,21942.0
