조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2010,한일장신대학교,전북,전북 완주군,대학,327,0,0,405,373,303,373
2010,서강대학교,서울,서울 마포구,대학,1924,0,0,3360,3438,2953,2166
2010,부산대학교,부산,부산 금정구,대학,4942,0,25,7885,6786,9204,5740
2010,울산대학교,울산,울산 남구,대학,3270,0,50,5388,4258,6969,4133
2010,한서대학교,충남,충남 서산시,대학,2068,0,0,2176,2558,3748,2178
2010,건동대학교,경북,경북 안동시,대학,234,0,0,112,131,194,260
2010,광주가톨릭대학교,전남,전남 나주시,대학,24,0,0,36,58,41,24
2010,동양대학교,경북,경북 영주시,대학,1288,0,0,926,1033,1998,2293
2010,가톨릭관동대학교,강원,강원 강릉시,대학,2641,0,26,2234,2864,4839,3432
2010,한북대학교,경기,경기 동두천시,대학,517,0,0,109,155,317,703
2010,제주대학교,제주,제주 제주시,대학,2509,0,24,3798,3412,4923,3467
2010,서울여자대학교,서울,서울 노원구,대학,1901,0,0,3103,2322,1941,1895
2010,목포가톨릭대학교,전남,전남 목포시,대학,152,0,0,163,153,152,154
2010,강서대학교,서울,서울 강서구,대학,431,0,0,409,451,484,632
2010,한중대학교,강원,강원 동해시,대학,774,0,0,345,477,622,859
2010,대진대학교,경기,경기 포천시,대학,2133,0,0,2458,2806,3927,2396
2010,장로회신학대학교,서울,서울 광진구,대학,167,0,0,242,256,253,192
2010,백석대학교,충남,충남 천안시,대학,3496,0,0,4052,4735,6050,3813
2010,수원가톨릭대학교,경기,경기 오산시,대학,39,0,0,43,40,115,46
2010,한국해양대학교,부산,부산 영도구,대학,1575,0,11,2266,1898,2083,2944
2010,대전가톨릭대학교,충남,충남 연기군,대학,20,0,0,29,101,24,20
2010,국민대학교,서울,서울 성북구,대학,3390,0,61,5153,4835,5225,5525
2010,대전신학대학교,대전,대전 대덕구,대학,59,0,0,0,0,47,66
2010,나사렛대학교,충남,충남 천안시,대학,1533,0,0,1563,1651,2046,2349
2010,경동대학교,강원,강원 고성군,대학,971,0,0,766,819,1367,1700
2010,고려대학교,서울,서울 성북구,대학,4156,0,54,6923,7995,7337,5984
2010,고려대학교,충남,충남 연기군,대학,1637,0,0,2466,2509,2805,3036
2010,목포대학교,전남,전남 무안군,대학,1963,0,30,2285,2370,4136,2570
2010,성공회대학교,서울,서울 구로구,대학,595,0,0,869,824,1004,743
2010,대구예술대학교,경북,경북 칠곡군,대학,426,0,0,263,333,460,551
2010,위덕대학교,경북,경북 경주시,대학,877,0,0,677,831,1496,1160
2010,인천대학교,인천,인천 연수구,대학,2858,0,0,2969,2619,3607,3230
2010,동아대학교,부산,부산 사하구,대학,4993,0,65,7789,6403,7311,9202
2010,예원예술대학교,전북,전북 임실군,대학,371,0,0,374,324,369,406
2010,예원예술대학교,전북,전북 전주시,대학,0,0,0,0,0,0,0
2010,영산선학대학교,전남,전남 영광군,대학,5,0,0,19,14,6,12
2010,서울대학교,서울,서울 관악구,대학,3464,0,44,7583,5371,4804,3974
2010,동신대학교,전남,전남 나주시,대학,1905,0,9,1627,1656,2193,3739
2010,상명대학교,서울,서울 종로구,대학,1591,0,0,2336,2293,2424,1943
2010,상명대학교,충남,충남 천안시,대학,1593,0,0,2075,2260,2560,1893
