,학교_식별자,시군구별,매칭된 행정구역,인구 수,2023,회귀계수,학생 비
28,강릉여자고등학교 (강원),강릉시,강원도 강릉시,209439.0,685,-0.02737318599387565,0.003270642048520094
29,강릉정보공업고등학교 (강원),강릉시,강원도 강릉시,209439.0,208,-0.03413140311804009,0.0009931292643681454
30,강릉제일고등학교 (강원),강릉시,강원도 강릉시,209439.0,631,-0.028235334057577405,0.003012810412578364
31,강릉중앙고등학교 (강원),강릉시,강원도 강릉시,209439.0,477,-0.03409763313609468,0.002277512784151949
32,강북고등학교 (대구),대구광역시 북구,대구광역시 북구,419624.0,738,-0.03692411924119241,0.0017587173278935427
33,강서고등학교 (서울),서울특별시 양천구,서울특별시 양천구,436028.0,1014,-0.04282690854119425,0.0023255387268707513
34,강서공업고등학교 (서울),서울특별시 강서구,서울특별시 강서구,563058.0,354,-0.03308193849746982,0.000628709653357203
35,강원고등학교 (강원),춘천시,강원도 춘천시,286426.0,607,-0.0317524115755627,0.002119221020438089
36,강원과학고등학교 (강원),원주시,강원도 원주시,361503.0,163,0.021701680672268908,0.0004508952899422688
37,강원대학교사범대학부설고등학교 (강원),춘천시,강원도 춘천시,286426.0,738,-0.02822891726523011,0.002576581734898368
38,강원생명과학고등학교 (강원),춘천시,강원도 춘천시,286426.0,204,-0.052673380398671095,0.0007122258454190611
39,강원생활과학고등학교 (강원),홍천군,강원도 홍천군,67309.0,159,-0.019019933554817278,0.002362239819340653
40,강원애니고등학교 (강원),춘천시,강원도 춘천시,286426.0,175,0.04277821625887923,0.0006109780536683123
41,강원예술고등학교 (강원),강릉시,강원도 강릉시,209439.0,168,-0.03295953193564115,0.0008021428673742713
42,강원외국어고등학교 (강원),양구군,강원도 양구군,21056.0,288,0.018481742472773864,0.013677811550151976
43,강원체육고등학교 (강원),춘천시,강원도 춘천시,286426.0,215,0.004074889867841409,0.0007506301802210694
44,강일고등학교 (서울),서울특별시 강동구,서울특별시 강동구,459167.0,564,0.01025140139289961,0.0012283112680135985
45,강일여자고등학교 (강원),강릉시,강원도 강릉시,209439.0,661,-0.030809390795424312,0.0031560502103237698
46,강진고등학교 (전남),강진군,전라남도 강진군,32722.0,380,-0.007039237358386297,0.011612982091559195
47,강호항공고등학교 (전북),고창군,전라북도 고창군,51750.0,449,-0.022629444791016844,0.008676328502415459
48,강화고등학교 (인천),인천광역시 강화군,인천광역시 강화군,69005.0,475,-0.022035995500562428,0.006883559162379538
49,강화여자고등학교 (인천),인천광역시 강화군,인천광역시 강화군,69005.0,472,-0.017645714285714285,0.006840084051880298
50,개금고등학교 (부산),부산광역시 부산진구,부산광역시 부산진구,359508.0,439,-0.04542940118932375,0.001221113299286803
51,개성고등학교 (부산),부산광역시 부산진구,부산광역시 부산진구,359508.0,599,-0.029436128469699174,0.0016661659823981663
52,개포고등학교 (서울),서울특별시 강남구,서울특별시 강남구,544873.0,693,-0.04728272474909246,0.0012718560104831769
53,거제고등학교 (경남),거제시,경상남도 거제시,234038.0,794,-0.017061184939091915,0.00339261145625924
54,거제공업고등학교 (경남),거제시,경상남도 거제시,234038.0,375,-0.021939464044727203,0.0016023038993667694
55,거제상문고등학교 (경남),거제시,경상남도 거제시,234038.0,1056,0.06955149501661129,0.004512087780616823
56,거제여자상업고등학교 (경남),거제시,경상남도 거제시,234038.0,167,-0.0628754872735611,0.0007135593365180014
57,거제옥포고등학교 (경남),거제시,경상남도 거제시,234038.0,1008,-0.021185983827493263,0.004306992881497876
58,거제제일고등학교 (경남),거제시,경상남도 거제시,234038.0,702,-0.030503359880537578,0.0029995128996145926
59,거제중앙고등학교 (경남),거제시,경상남도 거제시,234038.0,1008,-0.025165321404259457,0.004306992881497876
60,거진고등학교 (강원),nan,,,28,-0.05983560090702948,
61,거창고등학교 (경남),거창군,경상남도 거창군,60047.0,274,-0.019464767038891027,0.004563092244408547
62,거창대성고등학교 (경남),거창군,경상남도 거창군,60047.0,470,-0.019764677917756126,0.007827202025080355
63,거창승강기고등학교 (경남),거창군,경상남도 거창군,60047.0,81,-0.03315934065934066,0.001348943327726614
64,거창여자고등학교 (경남),거창군,경상남도 거창군,60047.0,265,-0.028186684509869515,0.004413209652438923
65,거창중앙고등학교 (경남),거창군,경상남도 거창군,60047.0,440,-0.021375266524520254,0.007327593385181607
66,건국고등학교 (부산),부산광역시 사하구,부산광역시 사하구,297831.0,367,-0.04859937295528898,0.0012322424462195003
67,건국대학교사범대학부속고등학교 (서울),서울특별시 광진구,서울특별시 광진구,335554.0,986,-0.03247194329592439,0.0029384242178606126
68,건양대학교병설건양고등학교 (충남),논산시,충청남도 논산시,110423.0,237,-0.026648351648351647,0.002146291986270976
69,검단고등학교 (인천),인천광역시 서구,인천광역시 서구,624358.0,814,-0.024405255059770384,0.001303739200907172
70,경구고등학교 (경북),구미시,경상북도 구미시,405506.0,713,-0.03151961383355737,0.0017582970412275034
71,경기게임마이스터고등학교 (경기),동안구,경기도 안양시 동안구,313996.0,222,-0.07652854664132859,0.0007070153759920508
72,경기경영고등학교 (경기),부천시,경기도 부천시,779968.0,546,-0.036079444246526544,0.0007000287191269386
73,경기고등학교 (서울),서울특별시 강남구,서울특별시 강남구,544873.0,1063,-0.03546028325123153,0.0019509133320975713
