index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
205,🇮🇹,Edoardo Profaizer,1,0,0,0,0,108.47n=1,54.42n=1,44.20n=1,67.27n=1,2.50n=10,2.26n=6,2.49n=1,3.14n=1,4.50n=2,4.38n=2,4.64n=2
206,🇦🇹,Anton Skoficz 148,0,1,0,0,0,107.80n=1,61.23n=1,47.44n=1,65.36n=1,2.69n=10,2.50n=6,1.45n=2,2.64n=1,4.62n=2,4.28n=2,4.48n=2
207,🇦🇺,James Lin,1,0,0,0,0,106.10n=1,54.95n=1,44.78n=1,64.32n=1,2.99n=10,1.67n=6,2.27n=1,2.57n=1,4.36n=2,4.26n=2,4.40n=2
208,🇹🇷,Ege Ilter,1,0,0,0,0,103.98n=1,54.89n=1,43.19n=1,65.79n=1,2.52n=10,2.18n=6,2.56n=1,2.36n=1,4.42n=2,4.30n=2,4.64n=2
209,🇸🇮,Ziga Jevnik,1,0,0,0,0,99.87n=1,60.23n=1,48.68n=1,52.19n=1,3.17n=10,1.95n=6,2.73n=1,2.50n=1,3.58n=2,3.52n=2,3.40n=2
210,🇮🇩,Rafif Herfianto Putra,1,0,0,0,0,94.52n=1,47.63n=1,40.58n=1,57.94n=1,2.04n=10,2.50n=6,1.83n=1,3.43n=1,3.93n=2,3.96n=2,3.80n=2
211,🇮🇩,Betrand Zeusef Zuriel 242,1,0,0,0,0,86.50n=1,44.31n=1,34.93n=1,52.57n=1,2.16n=10,1.67n=6,1.29n=1,2.00n=1,3.54n=2,3.56n=2,3.48n=2
212,🇹🇭,Tharon Warasittichai,1,0,0,0,0,84.68n=1,44.87n=1,36.95n=1,48.73n=1,2.46n=10,1.47n=6,1.41n=1,2.14n=1,3.34n=2,3.18n=2,3.34n=2
213,🇲🇾,Jayden Ye Hung Tin,1,0,0,0,0,80.61n=1,41.47n=1,33.84n=1,46.77n=1,2.20n=10,1.54n=6,1.11n=1,1.50n=1,3.27n=2,3.08n=2,3.16n=2
214,🇮🇳,Manjesh Tiwari,1,0,0,0,0,80.28n=1,46.04n=1,33.84n=1,47.44n=1,2.28n=10,1.33n=6,1.23n=1,1.86n=1,3.18n=2,2.98n=2,3.38n=2
215,🇲🇾,Aiden Yin Fan Loo,1,0,0,0,0,50.69n=1,21.73n=1,13.87n=1,37.82n=1,0.99n=10,0.33n=6,0.81n=1,1.21n=1,2.72n=2,2.48n=2,2.46n=2
216,🇲🇾,Fan Yu Tan,1,0,0,0,0,47.88n=1,21.21n=1,14.04n=1,35.84n=1,0.93n=10,0.40n=6,0.92n=1,1.36n=1,2.56n=2,2.41n=2,2.44n=2
