index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
158,🇭🇰,Megan Wong,1,0,0,0,0,128.22n=1,71.99n=1,65.18n=1,63.04n=1,3.88n=10,3.19n=6,3.77n=1,3.50n=1,5.22n=2,5.30n=2,5.20n=2
159,🇫🇮,Annika Pellonmaa,2,0,0,0,0,128.16n=2,74.91n=2,68.55n=2,61.60n=2,4.74n=20,2.46n=12,3.40n=2,3.04n=2,5.09n=4,5.12n=4,5.17n=4
160,🇨🇿,Nela Snebergerova 300,2,0,0,0,0,128.04n=2,68.91n=2,68.55n=2,60.49n=2,4.46n=20,2.94n=12,3.18n=2,3.14n=2,5.09n=4,4.92n=4,5.04n=4
161,🇱🇹,Aleksandra Golovkina 65,0,1,0,0,0,127.80n=1,58.52n=1,59.06n=1,71.74n=1,3.04n=10,3.22n=6,2.96n=2,3.40n=1,6.08n=2,6.00n=2,6.02n=2
162,🇨🇭,Sara Franzi 166,0,1,0,0,0,126.79n=1,59.60n=1,56.66n=1,72.13n=1,2.50n=10,3.59n=6,3.29n=2,3.50n=1,5.98n=2,6.10n=2,6.18n=2
163,🇮🇱,Gabriella Grinberg,1,0,0,0,0,126.73n=1,73.58n=1,69.56n=1,61.17n=1,4.57n=10,2.77n=6,3.77n=1,3.43n=1,5.08n=2,5.04n=2,5.30n=2
164,🇬🇧,Leilah Patten,1,0,0,0,0,126.39n=1,64.46n=1,63.15n=1,64.24n=1,3.41n=10,3.69n=6,2.86n=1,4.07n=1,5.43n=2,5.28n=2,5.28n=2
165,🇮🇱,Elizabet Gervits 103,0,1,0,0,0,125.85n=1,64.37n=1,56.92n=1,69.93n=1,3.02n=10,3.08n=6,2.70n=2,2.80n=1,5.72n=2,5.82n=2,6.10n=2
166,🇺🇿,Varvara Korotkova,1,0,0,0,0,125.59n=1,68.38n=1,64.96n=1,61.63n=1,4.72n=10,2.00n=6,2.71n=1,3.07n=1,5.14n=2,5.14n=2,5.22n=2
167,🇩🇰,Camilla Vinther Poulsen 316,1,0,0,0,0,125.02n=1,68.58n=1,64.46n=1,62.56n=1,4.01n=10,3.00n=6,3.63n=1,2.79n=1,5.22n=2,5.23n=2,5.36n=2
